Label (Grouping),"Lawrence city, Massachusetts!!Estimate",Margin of Error
Total:,"89,323",±37
    White alone,"12,881","±3,336"
    Black or African American alone,"2,493","±1,142"
    American Indian and Alaska Native alone,0,±228
    Asian alone,"1,363",±869
    Native Hawaiian and Other Pacific Islander alone,0,±228
    Some Other Race alone,"38,570","±5,492"
    Two or More Races:,"34,016","±5,786"
        Two races including Some Other Race,"30,676","±5,313"
"        Two races excluding Some Other Race, and three or more races","3,340","±2,100"
