groups,values
Total population 16 years and over,66621
In labor force,45956
In labor force: Civilian labor force,45922
In labor force: Civilian — employed,41147
In labor force: Civilian — unemployed,4775
In labor force: Armed Forces,34
Not in labor force,20665
Total population 16 years and over,66621
Male,32474
Male: 16 to 19 years,2648
Male: 16 to 19 — in labor force,1231
Male: 16 to 19 — civilian labor force employed,953
Male: 16 to 19 — civilian labor force unemployed,278
Male: 20 and 21 years,1417
Male: 20 to 21 — civilian labor force employed,0
Male: 20 to 21 — civilian labor force unemployed,1200
Male: 22 to 24 years,821
Male: 22 to 24 — civilian labor force employed,2482
Male: 22 to 24 — civilian labor force unemployed,2097
Male: 25 to 29 years,0
Male: 25 to 29 — civilian labor force employed,147
Male: 25 to 29 — civilian labor force unemployed,385
Male: 30 to 34 years,3816
Male: 30 to 34 — civilian labor force employed,3137
Male: 30 to 34 — civilian labor force unemployed,2761
Male: 35 to 44 years,376
Male: 35 to 44 — civilian labor force employed,3179
Male: 35 to 44 — civilian labor force unemployed,34
Male: 45 to 54 years,3145
Male: 45 to 54 — civilian labor force employed,593
Male: 45 to 54 — civilian labor force unemployed,5551
Male: 55 to 59 years,4803
Male: 55 to 59 — civilian labor force employed,4467
Male: 55 to 59 — civilian labor force unemployed,336
Male: 60 and 61 years,748
Male: 60 to 61 — civilian labor force employed,0
Male: 60 to 61 — civilian labor force unemployed,3995
Male: 62 to 64 years,3405
Male: 62 to 64 — civilian labor force employed,2423
Male: 62 to 64 — civilian labor force unemployed,1787
Male: 65 to 69 years,0
Male: 65 to 69 — civilian labor force employed,77
Male: 65 to 69 — civilian labor force unemployed,636
Male: 70 to 74 years,1081
state,25
place,34550
Male: 70 to 74 — civilian labor force employed,582
Male: 75 years and over,160
Male: 75+ — civilian labor force employed,466
Female,466
Female: 16 to 19 years,438
Female: 16 to 19 — civilian labor force employed,1259
Female: 16 to 19 — civilian labor force unemployed,506
Female: 20 and 21 years,421
Female: 20 to 21 — civilian labor force employed,855
Female: 20 to 21 — civilian labor force unemployed,156
Female: 22 to 24 years,156
Female: 22 to 24 — civilian labor force employed,1342
Female: 22 to 24 — civilian labor force unemployed,116
Female: 25 to 29 years,116
Female: 25 to 29 — civilian labor force employed,34147
Female: 25 to 29 — civilian labor force unemployed,2607
Female: 30 to 34 years,1645
Female: 30 to 34 — civilian labor force employed,1320
Female: 30 to 34 — civilian labor force unemployed,325
Female: 35 to 44 years,962
Female: 35 to 44 — civilian labor force employed,0
Female: 35 to 44 — civilian labor force unemployed,871
Female: 45 to 54 years,776
Female: 45 to 54 — civilian labor force employed,2235
Female: 45 to 54 — civilian labor force unemployed,1965
Female: 55 to 59 years,0
Female: 55 to 59 — civilian labor force employed,119
Female: 55 to 59 — civilian labor force unemployed,270
Female: 60 and 61 years,3955
Female: 60 to 61 — civilian labor force employed,3205
Female: 60 to 61 — civilian labor force unemployed,2811
Female: 62 to 64 years,394
Female: 62 to 64 — civilian labor force employed,2387
Female: 62 to 64 — civilian labor force unemployed,0
Female: 65 to 69 years,2387
Female: 65 to 69 — civilian labor force employed,489
Female: 65 to 69 — civilian labor force unemployed,5880
Female: 70 to 74 years,4765
Female: 70 to 74 — civilian labor force employed,4466
Female: 75 years and over,1115
Female: 75+ — civilian labor force employed,0
Total workers 16 years and over,40274
"Car, truck, or van",33274
"Car, truck, or van — drove alone",27783
"Car, truck, or van — carpooled",5491
Public transportation (excluding taxicab),1377
Bus,934
Subway or elevated rail,187
Long-distance train or commuter rail,256
"Light rail, streetcar, or trolley",0
Ferryboat,0
"Taxicab, motorcycle, bicycle, or other",1169
Motorcycle,0
Bicycle,172
Walked,1431
Other means,1104
Worked from home,1747
Total workers 16+ who did not work from home,38527
Less than 5 minutes,619
5 to 9 minutes,3731
10 to 14 minutes,8144
15 to 19 minutes,7050
20 to 24 minutes,5563
25 to 29 minutes,2102
30 to 34 minutes,4158
35 to 39 minutes,998
40 to 44 minutes,1222
45 to 59 minutes,2851
60 to 89 minutes,1469
90 or more minutes,620
Total full-time year-round workers 16 years and over,33324
Male full-time year-round workers,36951
Male: Median earnings (dollars),49414
Female full-time year-round workers,16556
Female: Median earnings (dollars),30395
Total population 25 years and over with earnings,37112
Less than high school graduate,28361
High school graduate (includes equivalency),35370
Some college or associate's degree,40722
Bachelor's degree,43595
Graduate or professional degree,69278
